Akihabara,TsukubaExpress,TsukubaExpress,秋葉原,Akihabara
ShinOkachimachi,TsukubaExpress,TsukubaExpress,新御徒町,Shin-Okachimachi
Asakusa,TsukubaExpress,TsukubaExpress,浅草,Asakusa
MinamiSenju,TsukubaExpress,TsukubaExpress,南千住,Minami-Senju
KitaSenju,TsukubaExpress,TsukubaExpress,北千住,Kita-Senju
Aoi,TsukubaExpress,TsukubaExpress,青井,Aoi
Rokucho,TsukubaExpress,TsukubaExpress,六町,Rokucho
Yashio,TsukubaExpress,TsukubaExpress,八潮,Yashio
MisatoChuo,TsukubaExpress,TsukubaExpress,三郷中央,Misato-chuo
MinamiNagareyama,TsukubaExpress,TsukubaExpress,南流山,Minami-Nagareyama
NagareyamaCentralPark,TsukubaExpress,TsukubaExpress,流山セントラルパーク,Nagareyama Central Park
NagareyamaOtakanomori,TsukubaExpress,TsukubaExpress,流山おおたかの森,Nagareyama-otakanomori
KashiwanohaCampus,TsukubaExpress,TsukubaExpress,柏の葉キャンパス,Kashiwanoha Campus
Kashiwatanaka,TsukubaExpress,TsukubaExpress,柏たなか,Kashiwa-Tanaka
Moriya,TsukubaExpress,TsukubaExpress,守谷,Moriya
Miraidaira,TsukubaExpress,TsukubaExpress,みらい平,Miraidaira
Midorino,TsukubaExpress,TsukubaExpress,みどりの,Midorino
BampakuKinenkoen,TsukubaExpress,TsukubaExpress,万博記念公園,Bampaku-kinenkoen
KenkyuGakuen,TsukubaExpress,TsukubaExpress,研究学園,Kenkyu-gakuen
Tsukuba,TsukubaExpress,TsukubaExpress,つくば,Tsukuba
